engine_id,engine_title,production_years,displacement_cc,fuel_system,power_output_hp,torque_output_nm,cylinder_block,compression_ratio,turbocharging,fuel_type,euro_standard,engine_lifespan_km,recommended_oil,manufacturer,year_start
1,Engine Audi BDW,2004-2008,2393,distributed injection,177,230,aluminum v6,10.3,no,petrol,euro 4,~280 000,5w-30,Audi,2004
2,Engine Audi AUK,2004-2010,3123,direct injection,256,330,aluminum v6,12.5,no,petrol,euro 4,~260 000,5w-30,Audi,2004
3,Engine Audi BDX,2006-2010,2773,direct injection,210,280,aluminum v6,12,no,petrol,euro 4,~250 000,5w-30,Audi,2006
4,Engine Audi CAJA,2008-2011,2995,direct injection,290,420,aluminum v6,10.5,compressor,petrol,euro 5,~250 000,5w-30,Audi,2008
5,Engine Audi CGWA,2009-2013,2995,direct injection,290,420,aluminum v6,10.5,compressor,petrol,euro 5,~240 000,5w-30,Audi,2009
6,Engine Audi CGWB,2010-2012,2995,direct injection,300,440,aluminum v6,10.5,compressor,petrol,euro 5,~260 000,5w-30,Audi,2010
7,Engine Audi CREC,since 2014,2995,mpi + fsi,333,440,aluminum v6,10.8,compressor,petrol,euro 6,~250 000,5w-30,Audi,2014
8,Engine Audi CZSE,since 2017,2995,direct injection,340,500,aluminum v6,11.2,twinscroll,petrol,euro 6,~260 000,0w-20,Audi,2017
9,Engine Audi DLZA,since 2018,2995,direct injection,340,500,aluminum v6,11.2,twinscroll,petrol,euro 6,~270 000,0w-20,Audi,2018
10,Engine Audi CWGD,since 2016,2995,direct injection,354,500,aluminum v6,11.2,twinscroll,petrol,euro 6,~250 000,0w-20,Audi,2016
11,Engine BMW N42B18,2001-2004,1796,injector,116 /5500 rpm,175 /3750 rpm,aluminum r4,10.5,no,petrol,euro 3,~250 000,5w-30,BMW,2001
12,Engine BMW M54B30,2000-2006 munich plant,2979,injector,231,300,aluminum r6,10.2,no,95,euro 3/4,~330 000,5w-30,BMW,2000
13,Engine BMW N45B16,2004-2011,1596,injector,116 /6000 rpm,150 /4300 rpm,aluminum r4,10.5,no,95,euro 4/5,~320 000,5w-30,BMW,2004
14,Engine BMW N43B20,2007-2011,1995,direct injection,,,aluminum r4,12,no,95,euro 4/5,~250 000,5w-30,BMW,2007
15,Engine BMW M44B19,1996-2001 munich plant,1895,injector,140 /6000 rpm,180 /4300 rpm,cast iron r4,10,no,petrol,euro 3,~300 000,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40 / 15w-50,BMW,1996
16,Engine BMW M50B20,1990-1996 munich plant,1991,injector,150,190,cast iron r6,,no,95,,~400 000,5w-30,BMW,1990
17,Engine BMW N45B20S,2006-2007,1997,injector,177 /7000 rpm,210 /4250 rpm,aluminum r4,11,no,95,euro 4,~250 000,5w-30,BMW,2006
18,Engine BMW N46B18,2004-2005 bmw plant hams hall,1796,injector,116,175,aluminum r4,10.2,no,95,euro 4,~320 000,5w-30,BMW,2004
19,Engine BMW N46B20,2004-2012 bmw plant hams hall,1995,injector,,,aluminum r4,10.5,no,95,euro 4/5,~300 000,5w-30,BMW,2004
20,Engine BMW N53B30,2007-2013,2996,direct injection,,,aluminum r6,12,no,95,euro 5,~300 000,5w-30,BMW,2007
21,Engine BMW N54B30,2006-2016,2979,direct injection,,,aluminum r6,10.2,bi-turbo,95,euro 5,~250 000,5w-30,BMW,2006
22,Engine BMW N55B30,2009-2018,2979,direct injection,,,aluminum r6,10.2,twin-scroll,95,euro 5,~300 000,5w-30,BMW,2009
23,Engine BMW N62B36,2001-2004,3600,injector,272 /6200 rpm,360 /3700 rpm,aluminum v8,10.5,no,95,euro 3/4,~300 000,5w-30,BMW,2001
24,Engine BMW N62B40,2005-2010,4000,injector,306 /6300 rpm,390 /3500 rpm,aluminum v8,10.5,no,95,euro 3/4,~310 000,5w-30,BMW,2005
25,Engine BMW N43B16,2007-2011,1599,direct injection,122 /6000 rpm,160 /4250 rpm,aluminum r4,12,no,95,euro 4/5,~240 000,5w-30,BMW,2007
26,Engine BMW N52B25,2005-2011,2497,injector,177 - 218,230 - 250,aluminum r6,11,no,95,euro 4/5,~250 000,5w-30,BMW,2005
27,Engine BMW N53B25,2007-2010,2497,direct injection,190,235 - 240,aluminum r6,12,no,95,euro 5,~275 000,5w-30,BMW,2007
28,Engine BMW S50B30,1992-1995,2990,injector,,,,,,petrol,euro 1,~400 000,5w-30 / 5w-40 / 5w-50 / 10w-40 / 15w-40,BMW,1992
29,Engine BMW S50B32,1995-2000,3201,injector,,,,11.3,,petrol,euro 2,~400 000,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40/ 15w-40,BMW,1995
30,Engine BMW N52B30,2004-2011,2996,injector,218 - 272,270 - 315,aluminum r6,10.7,no,95,euro 4/5,~275 000,5w-30,BMW,2004
31,Engine BMW M52B20 / M52TUB20,1994-2001 munich plant,1991,injector,150,190,aluminum r6,11,no,95,,~350 000,5w-30,BMW,1994
32,Engine BMW S62B50,1998-2003,4941,injector,400 /6600 rpm,,,11,,petrol,euro 2,~250 000,10w-60,BMW,1998
33,Engine BMW M42B18,1989-1996,1796,injector,140 /6000 rpm,175 /4500 rpm,cast iron r4,10,no,petrol,euro 2,~300 000,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40,BMW,1989
34,Engine BMW S63B44,2009,4395,injector,,,,,,petrol,,,,BMW,
35,Engine BMW S65B40,2007-2013,3999,injector,420 /8300 rpm,,,12,,petrol,euro 4,~200 000,10w-60,BMW,2007
36,Engine BMW S85B50,2005-2010,4999,injector,507 /7750 rpm,,,12,,petrol,euro 4,~200 000,10w-60,BMW,2005
37,Engine BMW M43B16,1993-2002 steyr plant,1596,injector,102 /5500 rpm,150 /3900 rpm,cast iron r4,9.7,no,petrol,euro 2/3,~300 000,5w-30,BMW,1993
38,Engine BMW M43B18,1992-2001 steyr plant,1796,injector,115 /5500 rpm,168 /3900 rpm,cast iron r4,9.7,no,petrol,euro 2/3,~320 000,5w-30,BMW,1992
39,Engine BMW M43B19 / M43TU,1998-2002 steyr plant,1895,injector,,,cast iron r4,9.7,no,petrol,euro 2/3,~350 000,5w-30,BMW,1998
40,Engine BMW M20B20,1977-1992,1991,carburetor/injector,,,,,,92-95,,~300 000,5w-30 / 5w-40 / 10w-30 / 10w-40 / 10w-50 / 15w-50,BMW,1977
41,Engine BMW M50B25 / M50B25TU,1990-1996 munich plant,2494,injector,192,245,cast iron r6,,no,95,,~400 000,5w-30,BMW,1990
42,Engine BMW M52B25 / M52TUB25,1995-2001 munich plant,2494,injector,170,245,aluminum r6,10.5,no,95,,~350 000,5w-30,BMW,1995
43,Engine BMW M20B25,1986-1993,2494,injector,,,,,,92-95,,~300 000,5w-30 / 5w-40 / 10w-30 / 10w-40 / 10w-50 / 15w-40 / 15w-50,BMW,1986
44,Engine BMW M60B30,1992-1996,2997,injector,218 /5800 rpm,290 /4500 rpm,aluminum v8,10.5,no,95,euro 1,~300 000,5w-30,BMW,1992
45,Engine BMW M52B28 / M52TUB28,1995-2001 munich plant,2793,injector,193,280,aluminum r6,10.2,no,95,,~350 000,5w-30,BMW,1995
46,Engine BMW S38B36,1988-1996,3535,injector,316 /6900 rpm,,,10,,petrol,,~400 000,5w-30 / 5w-40 / 10w-40 / 15w-40,BMW,1988
47,Engine BMW M30B30,1971-1994,2986,carburetor/injector,184/5800 / 188/5800 / 197/5800,,,9.0 / 9.2,,92,,~400 000,5w-30 / 5w-40 / 10w-40/ 15w-40,BMW,1971
48,Engine BMW M30B35 / M30B34,1982-1992,3430,injector,,,,,,92,,~400 000,5w-30 / 5w-40 / 10w-40/ 15w-40,BMW,1982
49,Engine BMW M40B16,1988-1994 steyr plant,1596,injector,,,cast iron r4,9,no,petrol,euro 1,~275 000,5w-30,BMW,1988
50,Engine BMW M40B18,1987-1994 steyr plant,1795,injector,113 /5500 rpm,162 /4250 rpm,cast iron r4,8.8,no,petrol,euro 1,~300 000,5w-30,BMW,1987
51,Engine BMW M54B22,2001-2006 munich plant,2171,injector,170,210,aluminum r6,10.7,no,95,euro 3/4,~300 000,5w-30,BMW,2001
52,Engine BMW M54B25,2000-2006 munich plant,2494,injector,192,245,aluminum r6,10.5,no,95,euro 3/4,~320 000,5w-30,BMW,2000
53,Engine BMW M60B40,1992-1998,3982,injector,286 /5800 rpm,400 /4500 rpm,aluminum v8,10,no,95,euro 1,~350 000,5w-30,BMW,1992
54,Engine BMW M62B35,1996-2003,3498,injector,,,aluminum v8,10,no,95,euro 2/3,~320 000,5w-30,BMW,1996
55,Engine BMW M62B44,1996-2005,4398,injector,,,aluminum v8,10,no,95,euro 2/3,~330 000,5w-30,BMW,1996
56,Engine BMW N13B16,2011-2016,1598,direct injection,,,aluminum r4,10.5,twin-scroll,98,euro 5/6,~250 000,5w-30,BMW,2011
57,Engine BMW N20B20,2011-2018,1997,direct injection,,,aluminum r4,10 &#8211; 11,twin-scroll,98,euro 5/6,~220 000,5w-30,BMW,2011
58,Engine BMW N42B20,2001-2004,1995,injector,143 /6000 rpm,200 /3750 rpm,aluminum r4,10,no,95,euro 3,~275 000,5w-30,BMW,2001
59,Engine BMW N62B44,2001-2006,4398,injector,,,aluminum v8,,no,95,euro 3/4,~320 000,5w-30,BMW,2001
60,Engine BMW N62B48,,4799,injector,,,aluminum v8,,no,95,euro 3/4,~3500 000,5w-30,BMW,
61,Engine BMW N63B44,since 2008,4395,direct injection,,,aluminum v8,,,98,,~250 000,5w-30,BMW,2008
62,Engine BMW S52B32,1995-2000,3152,injector,240 /6000 rpm,,,10.5,,petrol,euro 2,~400 000,0w-30 / 0w-40 / 5w-30 / 5w-40 / 10w-40 / 15w-40,BMW,1995
63,Engine BMW S54B32,2000-2011,3246,injector,,,,11.5,,petrol,euro 3,~400 000,10w-60,BMW,2000
64,Engine BMW M62B46,2001-2003,4619,injector,347 /5700 rpm,480 /3700 rpm,aluminum v8,10.5,no,95,euro 3,~350 000,5w-30,BMW,2001
65,Engine Jeep EJH,2011-,1598,injector,110,152,aluminum r4,11,no,95,euro 5,~250 000,5w-30,Jeep,2011
66,Engine Jeep ERH,1986-2006,3964,injector,175 - 195,300 - 320,cast iron r6,8.6 &#8211; 8.7,no,92,euro 2/3,~450 000,5w-30,Jeep,1986
67,Engine Jeep EPE,1983-1985,2464,carburetor,105,179,cast iron r4,9.2,no,92,euro 0,~300 000,5w-30,Jeep,1983
68,Engine Jeep EML,1992-2003,5899,injector,230 - 250,440 - 470,cast iron v8,8.7,no,98,euro 2,~400 000,5w-30,Jeep,1992
69,Engine Jeep ELF,1992-2002,5210,injector,210 - 230,380 - 410,cast iron v8,9.1,no,92,euro 2,~450 000,5w-30,Jeep,1992
70,Engine Jeep EVE,2008-2013,4701,injector,300 - 310,445 - 455,cast iron v8,9.8,no,95,euro 4,~250 000,5w-30,Jeep,2008
71,Engine Jeep EVC,2002-2008,4701,injector,255 - 265,420 - 450,cast iron v8,9.7,no,95,euro 3/4,~300 000,5w-30,Jeep,2002
72,Engine Jeep EVA,1998-2013,4701,injector,230 - 235,390 - 410,cast iron v8,9,no,92,euro 3/4,~350 000,5w-30,Jeep,1998
73,Engine Jeep EKG,2001-2012,3701,injector,200 - 215,305 - 320,cast iron v6,9.7,no,92,euro 3/4,~300 000,5w-30,Jeep,2001
74,Engine Jeep EXL,2005-2010,2987,common rail,218,510,cast iron v6,18,garrett gt2056v,diesel,euro 4/5,~320 000,5w-30,Jeep,2005
75,Engine Jeep ENF,2002-2005,2685,common rail,163,400,cast iron r5,18,garrett gt2256v,diesel,euro 3/4,~350 000,5w-30,Jeep,2002
76,Engine Jeep ENE,2010-2015,2143,common rail,136 - 163,320,cast iron r4,16.2,yes,diesel,euro 5,~300 000,5w-30,Jeep,2010
77,Engine Chrysler EDJ,2002-2009,2148,common rail,121 - 150,300,cast iron r4,18,ihi rhf4h,diesel,euro 3/4,~275 000,5w-30,Chrysler,2002
78,Engine Dodge ECE,2006-2011,1968,injector pump,140,310,cast iron r4,18,vgt,diesel,euro 4,~280 000,5w-30,Dodge,2006
79,Engine Chrysler ECD,2006-2011,1968,injector pump,140,310,cast iron r4,18,vgt,diesel,euro 3,~300 000,5w-30,Chrysler,2006
80,Engine Jeep EXA,1999-2001,3125,prechamber,140,385,cast iron r5,21,mhi tf035,diesel,euro 1,~300 000,5w-30,Jeep,1999
81,Engine Jeep EXF,2010-,2987,common rail,190 - 250,440 - 570,cast iron v6,16.5,garrett gt2056,diesel,euro 5/6,~300 000,5w-30,Jeep,2010
82,Engine Chrysler ENR,2000-2007,2766,common rail,150 - 163,360 - 400,cast iron r4,17.5,garrett gtb1756vk,diesel,euro 3,~320 000,5w-30,Chrysler,2000
83,Engine Jeep ENS,2006-2018,2766,common rail,160 - 200,360 - 460,cast iron r4,17.5,garrett gtb1756vk,diesel,euro 4/5,~300 000,5w-30,Jeep,2006
84,Engine Chrysler EGF,2006-2010,3518,injector,235,325,aluminum v6,10.1,no,92,euro 3,~350 000,5w-30,Chrysler,2006
85,Engine Chrysler ESF,2005-2010,6059,injector,425,570,,10.3,no,92,euro 3,~350 000,5w-30,Chrysler,2005
